fecha_origen,salida,puesta
2024-01-01,05:43,20:09
2024-01-02,05:44,20:09
2024-01-03,05:45,20:09
2024-01-04,05:46,20:10
2024-01-05,05:46,20:10
2024-01-06,05:47,20:10
2024-01-07,05:48,20:10
2024-01-08,05:49,20:10
2024-01-09,05:50,20:10
2024-01-10,05:51,20:09
2024-01-11,05:52,20:09
2024-01-12,05:53,20:09
2024-01-13,05:53,20:09
2024-01-14,05:54,20:09
2024-01-15,05:55,20:09
2024-01-16,05:56,20:08
2024-01-17,05:57,20:08
2024-01-18,05:58,20:08
2024-01-19,05:59,20:07
2024-01-20,06:00,20:07
2024-01-21,06:01,20:06
2024-01-22,06:02,20:06
2024-01-23,06:03,20:05
2024-01-24,06:04,20:05
2024-01-25,06:05,20:04
2024-01-26,06:06,20:04
2024-01-27,06:07,20:03
2024-01-28,06:08,20:03
2024-01-29,06:09,20:02
2024-01-30,06:10,20:01
2024-01-31,06:12,20:01
2024-02-01,06:13,20:00
2024-02-02,06:14,19:59
2024-02-03,06:15,19:58
2024-02-04,06:16,19:57
2024-02-05,06:17,19:57
2024-02-06,06:18,19:56
2024-02-07,06:19,19:55
2024-02-08,06:20,19:54
2024-02-09,06:21,19:53
2024-02-10,06:22,19:52
2024-02-11,06:23,19:51
2024-02-12,06:24,19:50
2024-02-13,06:25,19:49
2024-02-14,06:26,19:48
2024-02-15,06:27,19:47
2024-02-16,06:28,19:46
2024-02-17,06:29,19:45
2024-02-18,06:30,19:44
2024-02-19,06:30,19:43
2024-02-20,06:31,19:41
2024-02-21,06:32,19:40
2024-02-22,06:33,19:39
2024-02-23,06:34,19:38
2024-02-24,06:35,19:37
2024-02-25,06:36,19:35
2024-02-26,06:37,19:34
2024-02-27,06:38,19:33
2024-02-28,06:39,19:32
2024-02-29,06:40,19:30
2024-03-01,06:41,19:29
2024-03-02,06:41,19:28
2024-03-03,06:42,19:27
2024-03-04,06:43,19:25
2024-03-05,06:44,19:24
2024-03-06,06:45,19:23
2024-03-07,06:46,19:21
2024-03-08,06:47,19:20
2024-03-09,06:47,19:19
2024-03-10,06:48,19:17
2024-03-11,06:49,19:16
2024-03-12,06:50,19:15
2024-03-13,06:51,19:13
2024-03-14,06:52,19:12
2024-03-15,06:52,19:10
2024-03-16,06:53,19:09
2024-03-17,06:54,19:08
2024-03-18,06:55,19:06
2024-03-19,06:56,19:05
2024-03-20,06:56,19:04
2024-03-21,06:57,19:02
2024-03-22,06:58,19:01
2024-03-23,06:59,18:59
2024-03-24,07:00,18:58
2024-03-25,07:00,18:57
2024-03-26,07:01,18:55
2024-03-27,07:02,18:54
2024-03-28,07:03,18:52
2024-03-29,07:03,18:51
2024-03-30,07:04,18:50
2024-03-31,07:05,18:48
2024-04-01,07:06,18:47
2024-04-02,07:07,18:46
2024-04-03,07:07,18:44
2024-04-04,07:08,18:43
2024-04-05,07:09,18:42
2024-04-06,07:10,18:40
2024-04-07,07:10,18:39
2024-04-08,07:11,18:38
2024-04-09,07:12,18:36
2024-04-10,07:13,18:35
2024-04-11,07:13,18:34
2024-04-12,07:14,18:32
2024-04-13,07:15,18:31
2024-04-14,07:16,18:30
2024-04-15,07:17,18:29
2024-04-16,07:17,18:27
2024-04-17,07:18,18:26
2024-04-18,07:19,18:25
2024-04-19,07:20,18:24
2024-04-20,07:20,18:22
2024-04-21,07:21,18:21
2024-04-22,07:22,18:20
2024-04-23,07:23,18:19
2024-04-24,07:24,18:18
2024-04-25,07:24,18:17
2024-04-26,07:25,18:16
2024-04-27,07:26,18:15
2024-04-28,07:27,18:13
2024-04-29,07:27,18:12
2024-04-30,07:28,18:11
2024-05-01,07:29,18:10
2024-05-02,07:30,18:09
2024-05-03,07:31,18:08
2024-05-04,07:31,18:07
2024-05-05,07:32,18:07
2024-05-06,07:33,18:06
2024-05-07,07:34,18:05
2024-05-08,07:35,18:04
2024-05-09,07:35,18:03
2024-05-10,07:36,18:02
2024-05-11,07:37,18:01
2024-05-12,07:38,18:01
2024-05-13,07:38,18:00
2024-05-14,07:39,17:59
2024-05-15,07:40,17:58
2024-05-16,07:41,17:58
2024-05-17,07:41,17:57
2024-05-18,07:42,17:56
2024-05-19,07:43,17:56
2024-05-20,07:44,17:55
2024-05-21,07:44,17:55
2024-05-22,07:45,17:54
2024-05-23,07:46,17:53
2024-05-24,07:46,17:53
2024-05-25,07:47,17:53
2024-05-26,07:48,17:52
2024-05-27,07:48,17:52
2024-05-28,07:49,17:51
2024-05-29,07:50,17:51
2024-05-30,07:50,17:51
2024-05-31,07:51,17:50
2024-06-01,07:51,17:50
2024-06-02,07:52,17:50
2024-06-03,07:53,17:50
2024-06-04,07:53,17:49
2024-06-05,07:54,17:49
2024-06-06,07:54,17:49
2024-06-07,07:55,17:49
2024-06-08,07:55,17:49
2024-06-09,07:56,17:49
2024-06-10,07:56,17:49
2024-06-11,07:57,17:49
2024-06-12,07:57,17:49
2024-06-13,07:57,17:49
2024-06-14,07:58,17:49
2024-06-15,07:58,17:49
2024-06-16,07:58,17:49
2024-06-17,07:59,17:49
2024-06-18,07:59,17:49
2024-06-19,07:59,17:49
2024-06-20,08:00,17:50
2024-06-21,08:00,17:50
2024-06-22,08:00,17:50
2024-06-23,08:00,17:50
2024-06-24,08:00,17:51
2024-06-25,08:00,17:51
2024-06-26,08:01,17:51
2024-06-27,08:01,17:52
2024-06-28,08:01,17:52
2024-06-29,08:01,17:52
2024-06-30,08:01,17:53
2024-07-01,08:01,17:53
2024-07-02,08:01,17:54
2024-07-03,08:00,17:54
2024-07-04,08:00,17:55
2024-07-05,08:00,17:55
2024-07-06,08:00,17:56
2024-07-07,08:00,17:56
2024-07-08,08:00,17:57
